Site,Title,Company,Ratings,Reviews,Experience,Salary,Location,Description,Job_Post_History,URL
Naukri,Data Analyst,Spearline,5.0,23 Reviews,2-6 Yrs ,Not disclosed ,Ahmedabad ," Reporting to the Data Science Team Lead, we are seeking an experienced Data Analyst who...",30+ Days Ago,https://www.naukri.com/job-listings-data-analyst-spearline-ahmedabad-2-to-6-years-171122501756
Naukri,Data Analyst (Advance Excel),Silver Oak University,4.3,4 Reviews,1-6 Yrs ,Not disclosed ,Ahmedabad , Minimum qualifications:Any graduate degree.Excellent MS Office skills (Advanced Excel I...,18 Days Ago,https://www.naukri.com/job-listings-data-analyst-advance-excel-silver-oak-university-ahmedabad-1-to-6-years-281222010722
Naukri,Data Analyst,Skillety,3.8,3 Reviews,3-4 Yrs ,Not disclosed ,Ahmedabad , Proficiency in SQL to query and transform data4 years relevant industry experience with...,30+ Days Ago,https://www.naukri.com/job-listings-data-analyst-skillety-ahmedabad-3-to-4-years-131222500135
Naukri,Data Analyst,Proclink,4.6,11 Reviews,4-8 Yrs ,Not disclosed ,"Ahmedabad, Hyderabad/Secunderabad ", Experience in providing solution architecture describing the problem statement and appr...,30+ Days Ago,https://www.naukri.com/job-listings-data-analyst-proclink-consulting-services-llp-hyderabad-secunderabad-ahmedabad-4-to-8-years-300822502528
Naukri,Data Analyst,Advanced Risk Analytics,,,2-6 Yrs ,Not disclosed ,Ahmedabad ," Candidate should have: Knowledge of catastrophe data collection like Flood data, Earthq...",30+ Days Ago,https://www.naukri.com/job-listings-data-analyst-advanced-risk-analytics-private-limited-ahmedabad-2-to-6-years-260318501976
Naukri,Insurance Data Analyst,Xduce Infotech,4.9,2 Reviews,2-3 Yrs ,Not disclosed ,"Ahmedabad, Remote "," The Data Analyst must be able to identify, define and employ an analytical strategy to ...",30+ Days Ago,https://www.naukri.com/job-listings-insurance-data-analyst-xduce-ahmedabad-remote-2-to-3-years-240522500136
Naukri,Data Analyst,Aaneel Infotech,4.6,9 Reviews,1-7 Yrs ,Not disclosed ,Ahmedabad , Good understanding of database architecture would be preferredExperience to conlude dat...,30+ Days Ago,https://www.naukri.com/job-listings-data-analyst-aaneel-infotech-private-limited-ahmedabad-1-to-7-years-160622500670
Naukri,Data Analyst,Samyak Infotech,4.7,15 Reviews,3-5 Yrs ,Not disclosed ,Ahmedabad ," E / BTech / MTech in Computer Science, Information Systems, Machine Learning, Statistic...",30+ Days Ago,https://www.naukri.com/job-listings-data-analyst-samyak-infotech-pvt-ltd-ahmedabad-3-to-5-years-160522501947
Naukri,Data Mining - Data Analyst,Place1india Hr Solutions,,,1-3 Yrs ,Not disclosed ,Ahmedabad , Having good communication skills in English,30+ Days Ago,https://www.naukri.com/job-listings-data-mining-data-analyst-place1india-hr-solutions-ahmedabad-ahmedabad-1-to-3-years-140922502011
Naukri,Data Analyst,Atharva Systems,5.0,5 Reviews,3-8 Yrs ,Not disclosed ,Ahmedabad , Must know SQL (Intermediate to Advanced) and basic concepts of object oriented programm...,30+ Days Ago,https://www.naukri.com/job-listings-data-analyst-atharva-system-ahmedabad-3-to-8-years-260722501743
Naukri,Data Analyst,Legalwiz.in,4.8,3 Reviews,1-3 Yrs ,Not disclosed ,Ahmedabad , A drive to learn and master new technologies and techniquesBachelor s / Masters degree ...,30+ Days Ago,https://www.naukri.com/job-listings-data-analyst-legalwiz-ahmedabad-1-to-3-years-241120501147
Naukri,Data Research Analyst,Applycup Hiring Solutions Llp,4.9,16 Reviews,0-1 Yrs ,Not disclosed ,Ahmedabad , Bachelor degree in business or related field of studyAny GraduateExperience in project ...,20 Days Ago,https://www.naukri.com/job-listings-data-research-analyst-applycup-hiring-solutions-llp-ahmedabad-0-to-1-years-261222500441
Naukri,Looking For Data Analyst/Freelancer,Eitcafe,,,8-13 Yrs ,Not disclosed ,"Ahmedabad, Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru, Mumbai (All Areas) ", We are looking for a Data Analyst with 6 to 10 years of working experience for an onlin...,27 Days Ago,https://www.naukri.com/job-listings-looking-for-data-analyst-freelancer-eitcafe-hyderabad-secunderabad-ahmedabad-chennai-bangalore-bengaluru-mumbai-all-areas-8-to-13-years-191222009031
Naukri,Data Analyst,AR Consultant,,,3-6 Yrs ,"5,00,000 - 10,00,000 PA. ",Hybrid - Ahmedabad ," Must have Exp in Python Devp, SQL, Tableau & Google sheets",18 Days Ago,https://www.naukri.com/job-listings-data-analyst-ar-consultant-ahmedabad-3-to-6-years-281222013794
Naukri,ABAP O Data Analyst,Acme Hr Consulting,,,3-5 Yrs ,Not disclosed ,Ahmedabad , Getting the business Requirement document from functional consultant / functional analy...,30+ Days Ago,https://www.naukri.com/job-listings-abap-o-data-analyst-acme-hr-consulting-ahmedabad-3-to-5-years-301122503026
Naukri,Sr. Research Associate -  Bioinformatics  (NGS Data Analysis) ,Xcelris Genomics,,,2-4 Yrs ,Not disclosed ,Ahmedabad , Profound experience in analyzing data generated on Illuminas platforms;Proficiency and ...,30+ Days Ago,https://www.naukri.com/job-listings-sr-research-associate-bioinformatics-ngs-data-analysis-xcelris-diagnostics-ahmedabad-2-to-4-years-150716500490
Naukri,Senior Business Analyst Role,Huquo Consulting Pvt. Ltd,,,1-3 Yrs ,Not disclosed ,"Ahmedabad, Kolkata, Mumbai, Visakhapatnam, Hyderabad/Secunderabad, Pune, Chennai, Delhi / NCR, Bangalore/Bengaluru ", Experience with popular web application Must be able to clearly document functional req...,3 Days Ago,https://www.naukri.com/job-listings-senior-business-analyst-role-huquo-consulting-pvt-ltd-kolkata-mumbai-visakhapatnam-vizag-hyderabad-secunderabad-pune-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-1-to-3-years-120123912675
Naukri,Business Analyst,Intellial,3.2,7 Reviews,0-1 Yrs ,Not disclosed ,Ahmedabad , Designation: Business Analyst Key skills Required: Act as a customer s representative i...,30+ Days Ago,https://www.naukri.com/job-listings-business-analyst-intellial-solutions-pvt-ltd-ahmedabad-0-to-1-years-240620500241
Naukri,Business Analyst,"HyFun Foods, Unit of Asandas and Sons Pvt Ltd,",4.4,80 Reviews,2-5 Yrs ,"3,00,000 - 6,00,000 PA. ",Ahmedabad(Thaltej-Shilaj Road) ," Should build, develop and maintain data models, reporting system, dashboards and perfor...",9 Days Ago,https://www.naukri.com/job-listings-business-analyst-hyfun-foods-unit-of-asandas-and-sons-pvt-ltd-ahmedabad-2-to-5-years-060123009122
Naukri,Data/Market Research Analysts,Surekha Technologies,4.5,14 Reviews,3-8 Yrs ,Not disclosed ,Ahmedabad , Must be able to interpret large amounts of data3+ Years of Proven Market Research Analy...,30+ Days Ago,https://www.naukri.com/job-listings-data-market-research-analysts-surekha-technologies-ahmedabad-3-to-8-years-310720501533
Naukri,Business Analyst,DCS,4.3,25 Reviews,2-7 Yrs ,Not disclosed ,Ahmedabad ," Looking for candidates who have worked as business analysts, project managers, team lea...",30+ Days Ago,https://www.naukri.com/job-listings-business-analyst-data-cross-solution-ahmedabad-2-to-7-years-031218500596
Naukri,Business Analyst,DCS,4.3,25 Reviews,2-7 Yrs ,Not disclosed ,Ahmedabad ," Job Description Looking for candidates who have worked as business analysts, project ma...",30+ Days Ago,https://www.naukri.com/job-listings-business-analyst-data-cross-solution-ahmedabad-2-to-7-years-020216501484
Naukri,Business Analyst,Kapil Consultancy,1.6,17 Reviews,0-3 Yrs ,Not disclosed ,Ahmedabad ," Makes process improvement recommendations to management, drives consistency and improve...",30+ Days Ago,https://www.naukri.com/job-listings-business-analyst-kapil-consultancy-ahmedabad-0-to-3-years-011222502244
Naukri,Business Analyst,RK Hr Management,,,0-1 Yrs ,"1,00,000 - 2,25,000 PA. ",Ahmedabad(Prahlad Nagar) , Business Valuation Working and Report Feasibility Study Report Internal Control System ...,27 Days Ago,https://www.naukri.com/job-listings-business-analyst-rk-hr-management-ahmedabad-0-to-1-years-191222008698
Naukri,Senior Analyst/Assistant Manager/Manager - Digital Analytics - KPO,PYLON Management Consulting Private Limited,,,2-7 Yrs ,Not disclosed ,"Ahmedabad, Kolkata, Mumbai, Pune, Chennai, Gurgaon/Gurugram, Delhi / NCR, Bangalore/Bengaluru "," Manage end-to-end digital performance tracking, including the planning, coordination, i...",30+ Days Ago,https://www.naukri.com/job-listings-senior-analyst-assistant-manager-manager-digital-analytics-kpo-pylon-management-consulting-private-limited-kolkata-mumbai-pune-chennai-ahmedabad-gurgaon-gurugram-delhi-ncr-bangalore-bengaluru-2-to-7-years-291122912101
Naukri,Data Engineer,Applycup Hiring Solutions Llp,4.9,16 Reviews,0-2 Yrs ,Not disclosed ,Ahmedabad , Build distributed and highly parallelized Big Data ingestion and processing pipelines t...,20 Days Ago,https://www.naukri.com/job-listings-data-engineer-applycup-hiring-solutions-llp-ahmedabad-0-to-2-years-261222500437
Naukri,Gis analyst/Senior Gis analyst,Amnex Infotechnologies,2.7,13 Reviews,0-5 Yrs ,Not disclosed ,Ahmedabad ," Key Role Job Description Digitisation, editing and spatial data analysis Capture, on th...",30+ Days Ago,https://www.naukri.com/job-listings-gis-analyst-senior-gis-analyst-amnex-infotechnologies-ahmedabad-0-to-5-years-221019501885
Naukri,Senior Executive Sales Analyst,Symphony Corporation,3.5,6 Reviews,1-5 Yrs ,Not disclosed ,Ahmedabad , CRM activities and Mobile application management: 1) Maintain CRM platform 2) Generate ...,30+ Days Ago,https://www.naukri.com/job-listings-senior-executive-sales-analyst-symphony-corporation-ahmedabad-1-to-5-years-151222612518
Naukri,Senior Executive Sales Analyst,Symphony Corporation,3.5,6 Reviews,1-5 Yrs ,Not disclosed ,Ahmedabad , CRM activities and Mobile application management: 1) Maintain CRM platform 2) Generate ...,30+ Days Ago,https://www.naukri.com/job-listings-senior-executive-sales-analyst-symphony-corporation-ahmedabad-1-to-5-years-151222012516
Naukri,Sr Business Analyst,Applycup Hiring Solutions Llp,4.9,16 Reviews,3-4 Yrs ,Not disclosed ,Ahmedabad , Having hand-on experience creating conceptual prototypes and mock-ups would be an advan...,20 Days Ago,https://www.naukri.com/job-listings-sr-business-analyst-applycup-hiring-solutions-llp-ahmedabad-3-to-4-years-261222503278
Naukri,Senior Data Engineer - SQL & Python,Zorba Consulting India,,,3-5 Yrs ,Not disclosed ,"Ahmedabad, Kolkata, Mumbai, Visakhapatnam, Hyderabad/Secunderabad, Pune, Chennai, Delhi / NCR, Bangalore/Bengaluru ", We are looking for a Sr. Data Engineer SQL+Python to join our team on immediate basis (...,18 Days Ago,https://www.naukri.com/job-listings-senior-data-engineer-sql-python-zorba-consulting-india-kolkata-mumbai-visakhapatnam-vizag-hyderabad-secunderabad-pune-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-3-to-5-years-281222909809
Naukri,Senior Azure Data Engineer,Zymr Systems,3.6,52 Reviews,5-10 Yrs ,Not disclosed ,"Ahmedabad, Pune, Bangalore/Bengaluru "," Over 4 years of professional experience conducting statistical analysis, data engineeri...",19 Days Ago,https://www.naukri.com/job-listings-senior-azure-data-engineer-zymr-systems-pune-ahmedabad-bangalore-bengaluru-5-to-10-years-271222008779
Naukri,Senior Data Engineer,Kaarlo Training & HR Solutions Pvt. Ltd,,,8-12 Yrs ,Not disclosed ,"Ahmedabad, Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Delhi / NCR, Bangalore/Bengaluru "," Job Description: To work in a variety of settings to build systems that collect, manage...",30+ Days Ago,https://www.naukri.com/job-listings-senior-data-engineer-kaarlo-training-hr-solutions-pvt-ltd-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-8-to-12-years-231122907981
Naukri,Senior Data Engineer,Apttus,4.3,44 Reviews,7-12 Yrs ,Not disclosed ,"Ahmedabad, Pune, Bangalore/Bengaluru "," Bachelors in computer science or related field, and a demonstrated pursuit of related c...",30+ Days Ago,https://www.naukri.com/job-listings-senior-data-engineer-apttus-pune-ahmedabad-bangalore-bengaluru-7-to-12-years-141222501733
Naukri,Lead/ Senior Azure Data Engineer,Zymr Systems,3.6,52 Reviews,6-11 Yrs ,Not disclosed ,"Ahmedabad, Pune, Bangalore/Bengaluru "," Over 4 years of professional experience conducting statistical analysis, data engineeri...",30+ Days Ago,https://www.naukri.com/job-listings-lead-senior-azure-data-engineer-zymr-systems-pune-ahmedabad-bangalore-bengaluru-6-to-11-years-131222009650
